-akgaakgegang oscillating
monontsha mould
monosanno goalscorer
monwana finger
monyego osmosis
monyelo absorption
mooki nurse
mookopedi dicotyledon
mootlo cud
mootlwana pet
mopakwana boom
mopakwana hurdle
mophepafatsi cleaner
moporofeta prophet
morafe tribe
morafogo warp
moragapenele penalty-taker
morago back
moraladikago architect
morara vine
moratammino aficionado
moratwa boyfriend
moreki customer
morekisimmileng vendor
moriri hair
moriti shade
moriti shadow
morogo vegetable
moroko bran
morolamaikarabelo indemnitor
moromedi sender
moropa drum
morotloetsi luminary
morotloetsimogolo cheerleader
morubisi owl
morumo rhyme
moruti rabbi
morwalamaikarabelo surety
morwalo load
mosaitsiweng stranger
mosefaramogolo webmaster
mosegagong woodcutter
moseladikgwele ballboy
moselamaswe sewer
mosele channel
mosele drain
mosele sluice
moseleleswe sewer
moselemaswe drainage
moselomantle sewerage
moseto engraving
moseto rebate
mosetsana girl
mosi smoke
mosidi miller
mosidi soot
mosidili physiotherapist
mosifa muscle
mosimasele manhole
mositlhaphala centipede
mositsana wattle
moskhi mosque
mosutlhalefaufau astronaut
motakalala crayon
motataisi facilitator
moteme tin
mothalotsepa perpendicular
mothamo capacity
mothamo content
mothapo nerve
motheo foundation
motheopilara footing
mothudi blacksmith
mothulamaotwana wheelwright
mothutadiphologolo zoologist
mothwantsho click
motimamolelo fireman
motlae joke
motlakase electricity
motlakisano courting
motlaopi clown
motlaupi comedian
motlhala clue
motlhala precedent
motlhala trail
motlhokomedi gatekeeper
motlhokomedi trustee
motlhotlho filter
motlhotlho strainer
motlhware olive
motlolamolao violator
motlopa clitoris
motopo conical
motsadi parent
motsamaisi administrator
motsamao locomotion
motsamao motion
motsamao movement
motsereganyi arbitrator
motsereganyi intermediary
motshamekamorago sweeper
motshameki footballer
motshameko game
motshamekotshosologo extravaganza
motshamekotshutlhelelo qualifier
motshegetsatswelopele progressive
motshegetsi back-bencher
motshikinyi mover
motsholamatlotlo exchequer
motsholatopotuelo bearer
motsholelathoto fiduciary
motsholetsaditshipi weightlifter
motshope spiral
motso unit
motsoko tobacco
motsotswana second
motsu arrow
motsulloko collar
motswako compound
motswako mixture
motswako suspension
motswasetlhabelo victim
motswedi fountain
motswedi groundwater
motswedi resource
motswedi source
motswedi spring
motswenatsweno bleeding
motšhini machine
motšhonkolo muchongolo
motšhotšho finger
mouta mould
mouwane fog
mouwane mist
mowa air
mowa breath
mowa spirit
mowafala evaporate
mowafalo evaporation
moweti moiety
mpa abdomen
mphe flatworm
mphiwafela grant
mponeng exhibitionist
mpumpu honeysuckle
naelone nylon
naeterojene nitrogen
nafethalini naphthalene
naga country
naga state
naga tract
naga veld
nagalegae bantustan
nako time
nakodijotshegare lunchtime
naledi star
naletsana asterisk
nama flesh
nama meat
namane calf
namololato forbearance
namune orange
nanomitha nanometre
nawa bean
neferaphini nevirapine
nepagalo accuracy
nepagetse accurate
netefatso verification
ngaka doctor
ngata bundle
ngata cluster
ngoka canvass
ngokotshegetso canvass
ngongorega complain
ngwagakgolo century
ngwagasome decade
ngwana young
ngwedi moon
nko nose
nku sheep
nkwe leopard
nne four
nnete true
nngwe one
nngwe-keteng thousandth
nngwe-someng tenth
nngwesomepeding twelfth
nnikele nickel
nno goal
noga snake
noka river
noko internode
noko node
nolofatsa simplify
nongsejapeo seed-eater
nonneng fertile
nonofile effective
nontsha fertilise
nonyane bird
noolwane legend
nopolo extract
nosa water
nosetsa irrigate
nosetsa water
nosetso irrigation
nosi single
noto mallet
notshe bee
ntho lesion
ntho ulcer
ntho wound
ntlha direction
ntlha fact
ntlhakgolo headline
ntlhana pole
ntlhana terminal
ntlhana tip
ntlhana vertex
ntlhatherisano issue
ntlhopheng candidate
ntlokemedi embassy
ntlwana cabin
ntlwanabobeelo shed
ntsha deduct
ntsha minus
ntshetsontle output
ntshopopelo hysterectomy
ntsi fly
ntsi housefly
ntsu eagle
ntwa fight
ntwa war
ntšhwafatsa renew
ntšhwafatsegang renewable
ntšhwafatso renewal
ntšhwe ostrich
nwela sink
nyalana tally
nyalano match
nyalanya match
nyontsha disgust
nyumonia pneumonia
nyutliliolase nucleolus
nyutone newton
nôtô maul
oba arch
obamela worship
obatšho overture
obola peel
oka nurse
okesideišene oxidation
oketsa increase
okharina ocarina
okosaete oxide
okosijene oxygen
oksijenennyemethapong hypoxia
oktheivi octave
oli oil
omile dry
opela sing
osoune ozone
othosetlelerosise otosclerosis
otlha twist
otlhaya penalize
otsela sleepiness
ouku oak
pa'ta accompany
padi novel
pagololo recall
paka duration
paka period
pakatsamaiso dispensation
palafatso pigmentation
palamente parliament
palelano deadlock
palelo calculation
palelo reading
palelosešwa recalculation
palo number
palogare aggregate
palogare average
palogotlhe gross
palokatiso factor
palokemedi logarithm
palophatlo fraction
palophokotswa minuend
palosekwere square
palotekanyetso quota
palotlhakanngwa addend
pampiri paper
panana banana
papatso marketing
papetla chart
papetla plate
papetlakonopo keyboard
papetlatiro worksheet
papiso comparison
papolo crucifixion
parafene paraffin
paralelokeramo parallelogram
pasetele pastel
paterone pattern
patipopota hardboard
peba mouse
pebentsho mime
pedi two
peeletsogape reinvestment
pegelo report
peipiphemedi conduit
peipithibedi trap
pele front
pelisimolatelo suppository
pelo heart
pelosele nucleus
penele penalty
pente paint
peo seed
peo spore
peolwane swallow
pere pear
perekisi peach
petagano congestion
petsana foal
phaene pine
phakwe hawk
phala impala
phalo beehive
phanele panel
phanka punk
phaphamala float
phaphasela flap
phaphathi flat
phapogo deflection
phaposi chamber
phaposibobolokelo cloakroom
phaposiborutelo classroom
phapositlhapelo bathroom
pharakano traffic
pharatšhute parachute
pharologano difference
pharologantsho characteristic
pharologantsho differential
pharologantshoboalo faulting
pharologantshomantswe timbre
pharuma squat-jump
phasalalagote radiation
phasalatsorang radioactivity
phasalatša publish
phasta pasta
phatlha gap
phatlha opening
phatlha space
phatlhafatso fenestration
phatlhalatsa disperse
phatlhalatso diffusion
phatlhatiro vacancy
phato blotter
phatsa splint
phatsana splinter
phefisi casement
phefo wind
phegelwana comma
phegisana challenge
phegisano challenge
phelehu ram
pheleletsotuelo settlement
phenisilini penicillin
phenkwine penguin
phepa pure
phepafatsa recycle
phepafatso recycling
phepelotlase malnutrition
phepesini pepsin
phera sepsis
phesente percent
phesodi crane
phetale petal
phetetso transmission
phetisetso rollover
phetisi transmitter
phetiso excess
phetiso transmission
phetlho generation
phetodi agent
phetodi effect
phetogo conversion
phetogo transformation
phetogobosika mutation
phetogopopego metamorphosis
phetolelo conversion
phetolelothefoso substitution
phetolo endorsement
phetolo reform
phetolomotlakase electrolysis
phetotekano excess
phikolo piccolo
philo kidney
phimola clear
phimolokwadiso deregistration
phiramiti pyramid
phiri hyena
phirimoletsatsi sunset
phiritine pyridine
phiruwete pirouette
phisegelo quest
phitlhelelo achievement
phitlhelelo milestone
phoka condensate
phokafalo condensation
phokafatsa condense
phokoje fox
phokojwe jackal
phokoletso rebate
phokotso discount
phokotsoboleng devaluation
pholima polymer
pholimafatso polymerisation
pholiporopeline polypropylene
pholiseterene polystyrene
phologa survive
phologo survival
phologolo animal
phoni pony
phonsešia poinsettia
phoraphora caress
phoraphora petting
phororo rapid
phororo waterfall
phoso fault
phosopilising capping
phouseta poster
phufudi steam
phufudi vapour
phunyo bradawl
phuthego congregation
phuthela packaging
pikeniki picnic
pilisitswakontsi polypill
pina song
pinagare pivot
pinki pink
pisetene piston
pitielo pugging
pitsa pot
pitso imbizo
pitsokarabo call-and-response
pobe indentation
poeletso repetition
poeletso revision
poeletswa chant
poelo profit
poelomorago counter-productive
polaka plug
polakate placard
polanete planet
polanja plunger
polantasi plantation
polante plant
polasa farm
polasa farmyard
polasetiki plastic
polasetiki polythene
polelo sentence
polelo-tekatekano equation
polelophaposo misrepresentation
polelwana phrase
polelwanamolao clause
polinthe plinth
polwane pancreas
pompa pump
ponelopele prediction
ponelopelebolwetse prognosis
pono eyesight
pono sight
pono view
ponopedi bifocal
pontsho projection
poo bull
popeganolo ductile
popego shape
popego structure
popegoriti silhouette
popegoseraro cuboid
popegotaemane diamond-shaped
popelo ovary
popo casting
popokgopolo conceptualise
popothoro granulation
popotshipi die-casting
porofense province
poroteini protein
posa post
poso mail
poso post
posofofane airmail
posokarata postcard
posopolokelo Postbank
potefolio portfolio
potfolio portfolio
potso question
potsolotso interview
pudula blister
puisanonnye snippet
pula rain
pulelomowa ventilation
puo language
puo speech
pusetso reinstatement
puso government
puso regime
radiamo radium
radimonamone humming-bird
rafiya raffia
rali rally
ramaanokago architect
ramakwalo postman
ramatiki arthritis
ramatiki rheumatism
ramodula anther
ramotšhine machinist
rankgatakane gecko
ranola decode
ranola interpret
ranta rand
rapame horizontal
rapela pray
raraana complicate
rarabolola resolve
rarabolola solve
rata love
ratsuru lemon
rayone rayon
refosanang commutative
rejiseta register
reka buy
reka purchase
rekisa sell
rekitlha reciprocate
rekota record
repe rap
rerisana negotiate
reteletsa dance
reterovaerase retrovirus
rethefatsa sanding
ribeta riveting
ribete rivet
ribofolabene riboflavin
rikei reggae
robadiwakokelong hospitalisation
robedi eight
robonngwe nine
roboto robot
rombase rhombus
romela serve
romelantle export
romelateng import
rotloetsa cheer
rotloetsa encourage
rousemeri rosemary
ruburiki rubric
rulaganya arrange
rulaganya sort
rulaganya tabulate
runa audit
rȏra snarl
saekhate cycad
saga hacksaw
sakhoma sarcoma
salemonela salmonella
samente cement
samiti summit
sathalaete satellite
sayathikha sciatica
seabe role
seabe share
sealetso weft
seamogedi receiver
seamusi mammal
seanedi raconteur
seapei chef
seapesakgong veneer
searodi dividers
searoganyi keeper
searolwa quotient
seatiso product
seatla hand
sebabole sulphur
sebako cause
sebaledi calculator
sebatabati swab
sebedi binary
sebedi double
sebedi pair
sebenya jewel
sebete liver
sebetlisi lathe
sebetlwa sculpture
sebodu carrion
sebofisefo gauze
seboko maggot
seboko worm
sebokosei silkworm
sebokwanadiko roundworm
sebokwanakgwage hookworm
sebokwanammu earthworm
sebolayadisenyi pesticide
sebolayaditshenekegi insecticide
sebolayamegare germicide
sebolokatshedimetsing aquarium
sebolokwa conserve
sebontshiphetodi indicator
sebopegokakangwa model
sebopegopelo cardioid
sebugakago batt
sebulameselomowa bronchodilator
sediba borehole
sedikisi radius
sedikiso circumference
sediko circle
sedimo divine
sedimosetsa brief
sediriso instrument
sedirisokutlopono audio-visual
sediriswa apparatus
sediriswa appliance
sediriswa device
sediriswa facility
sediriswa implement
sediriswa instrument
sediriswa tool
sediriswa utensil
sediro material
sedumedi meteor
seedi fluid
seedi liquid
sefa sift
sefako hail
sefako hailstone
sefala barn
sefane surname
sefapaano cross
sefapo bandage
sefaposametsi cricket
sefatla dial
sefatla face
sefatlhatirelo desktop
sefatlhego face
sefefo gale
sefefo storm
sefefofako hailstorm
sefela chorale
sefene snout
sefeterale federalism
sefetisi relay
sefetlhamotlakase turbine
sefetodi transformer
sefikafatla bust
sefikantswe monument
sefitlholo breakfast
sefo gauze
sefo mesh
sefo sieve
sefofane aeroplane
sefofi aircraft
segagabi reptile
segagane frost
segalo pitch
seganwa reject
segatelelaloleme tongue-depressor
segatisi printer
segatsufatsi narcotic
segodisamodumo amplifier
segokaganyakelelo interface
segokanyatena pointing
segoke link
segokgo spider
segole loop
segole paraplegic
segopa flock
segopalwetse syndrome
segopolo abstract
segotlhameno toothbrush
segwagwa frog
segwagwa toad
segwere bulb
segwere tuber
segwete carrot
sehengwa inhalant
seile canvas
seipone mirror
sejagotlhe omnivore
sejalo crop
sejaro alert
sejiometeri geometric
seka-sediko semicircle
sekabi mastic
sekaedi indicator
sekaelo formula
sekafo plane
sekagalase perspex
sekai symbol
sekaka desert
sekalebokoso box-shaped
sekalegakwa crystalline
sekamakenete lodestone
sekamakgaolakgang semi-final
sekame oblique
sekamokoro raft
sekamolemo placebo
sekaniri hinge
sekano emblem
sekao example
sekasoprano mezzo-soprano
sekatlakgoba capsule
sekefole ledger
sekefole scaffold
sekena scan
sekepe ship
sekepe vessel
sekepephufudi steamship
sekere scissors
sekeresegolo shears
sekete circuit
sekete thousand
seketswana yacht
sekgabisaaletara altarpiece
sekgabisi motif
sekgabisi ornament
sekgala distance
sekgalaphuka wingspan
sekgalatekanyi odometer
sekgaoganyagalase mullion
sekgaoganyametswako centrifuge
sekgomaretsi Sellotape
sekgomaretsi paste
sekgono elbow
sekgoreletsi obstacle
sekgorwana retort
sekgosetsi shutter
sekgotledi pollutant
sekgwa forest
sekhebi scurvy
sekhurumelo lid
sekhutlo angle
sekhutlo corner
sekhutlopota reveal
sekhutlotharo triangular
sekolašipi scholarship
sekolo school
sekoloto liability
sekonetedi seal
sekopanyapati astragal
sekurufu screw
sekwera square
selaete slide
selaodi transistor
selaolakelelo stopcock
selaolakelo resistor
selaolathemphereitšha thermostat
sele cell
seleele stretcher
selefera silver
selekano dosage
selekano dose
selekanyaboima balance
selekanyetso scale
selekanyo dimension
selekanyo size
seleketlhi pendulum
selemo summer
selemosi sensor
selennere cylinder
selo cello
selo object
selogelo loom
selogetsamometso lozenge
selogetsi brace
selogetsi lubricant
selomaganyi sleeve
selulose cellulose
semamaretsi slag
semelo attribute
sememimafatlha breaststroke
sememimokwatla backstroke
sememiphuthologo freestyle
semenisi expectorant
semmetale metallic
semoko smog
semphato partnership
senagoge synagogue
senama physical
senke zinc
sente cent
sentlhaga nest
sentshabodutu hobby
senwatatso elixir
senya damage
senya ruin
senyega decompose
senyegile corrupt
seobo arch
seobothulelo vault
seokobatsakgotlholo linctus
seokobatsatlhabi analgesic
seokobatsi painkiller
seomisi desiccant
seopedi vocalist
seotli ruminant
sepaketi spaghetti
sepale sepal
sepanderele spandrel
sepe nothing
sepekere brad
sephepafatsi cleanser
sephetlatsebe browser
sephokafatsi condenser
sephotlwa pod
sephuthedi wrap
sephuthelo packaging
sepinatšhe spinach
sepodisi police
sepolei splay
seporo railway
seporokete sprocket
sepurusi spruce
seramiki ceramic
seramo serum
seramotlhokabolwetse seronegative
seramotshupabolwetse seropositive
seranki tendril
seranodi decoder
serare coil
seraro threes
sere matter
sere substance
seregare intermediate
serekomota precipitate
sereledisi glidant
serepodikelela escalator
serethefatsi sander
seretse mud
seretse muddy
seripagare half
seriti dignity
serobe coop
seroritanka tanker
seroritsogwana boom
serurubele butterfly
serwalatena hod
sesala remainder
sesenyi pest
sesetledi kicker
sesetlegathaele wonderboard
sesirapono opaque
sesireletsi shelter
sesiri louvre
sesiti deposit
seso sore
sesokakurufu screwdriver
sesole military
sesomarelanjo preservative
sesupaphefo windsock
setabogi runner
setaele stile
setaele style
setampa samp
setatšhe starch
sete set
setekalana subset
setekopano union
setenaiso firebrick
setenarobana airbrick
sethaledi scriber
sethalephopholetsa schematic
sethalo sketch
setheo structure
sethibatsebe earplug
sethibelalegadima earth
sethibelamalaria antimalarial
sethibelamonelo soaker
sethibelaphero antiseptic
sethibelathurugo anti-inflammatory
sethibo stopper
setho human
sethole hen
sethunya bloom
sethuthusi incubator
setiisi gusset
setlaleletsi supplement
setlamo enterprise
setlamokokangwa subsidiary
setlapele priority
setlega anchor
setlha season
setlhabi pain
setlhaketlhake island
setlhana pelvis
setlhangwa composite
setlhangwa invention
setlhaolosi solvent
setlhare tree
setlharelemo herb
setlhatlhobi-sekapamodumo ultrasound
setlhatlosi crane
setlhatsana shrub
setlhatsisi emetic
setlhoa top
setlhogo caption
setlhogo heading
setlholatsibogeloaleji sensitiser
setlhopha club
setlhopha formation
setlhopha group
setlhopha squad
setlhopha team
setlhotlhwa filtrate
setoroberi strawberry
setotwa target
setsamaisamotlakase electrolyte
setsamaisi actuator
setsenyeletsammala mordant
setsha site
setshaswapele primer
setshedi organism
setshedifaufau spaceman
setshedinnyennye micro-organism
setshedinnyennye organism
setshegetsagalase muntin
setshegetsi support
setshelagobedi amphibian
setsholamomaro lath
setshwantsho photograph
setshwantsho picture
setshwantsho sketch
setshwantshokgopolo virtual
setshwao label
setshwari pincer
setsibosi signal
setsidifatsi refrigerator
setso culture
setsongwa prey
setswakatshipi tungsten
setswaki additive
setswakwa ingredient
setuki fuel
setulo seat
setuloteti wheelchair
setšhaba society
setšhakgatšhakga shaker
setšhuu stew
shawara shower
siame kind
siametse convenient
siamisa correct
sidila massage
sikalookgopa mollusc
sikalootshoswane ant
sikwiti squid
sila mill
silikhone silicone
silikhono silicon
siling ceiling
simbale cymbal
simolola start
sinamone cinnamon
sipi zip
sireletsa protect
sireletsa save
sisale sisal
sitlholola download
sodiamo sodium
sokete soak
sola moult
solenoete solenoid
somarela preserve
sopo soup
steroete steroid
stiliti stilt
sukhusi soukous
sukiri fructose
sukiri monosaccharide
sukiri sugar
sukirimorara grape-sugar
sunetsa sniffle
supa seven
sutisa move
sutlhelela overlap
sutlhelela qualify
swaba wilt
swaba wither
swato pellagra
taelo instruction
taemane diamond
taenamo dynamo
tafole table
tafolebodirelo bench
tagi alcohol
takatsatsa slurry
taletso invitation
tama dam
tamati tomato
tanka tank
taolelo mandate
taolelomelemo prescription
taolo control
taolwana rule
tapole potato
tataisa mentor
tataiso mentoring
tatelano array
tatelano sequence
tatelelo follow-up
tatlhegelo forfeiture
tatso taste
tau lion
tayote diode
tebalo amnesia
tebego appearance
tekanakana feeler
tekani dimension
tekanyadino equaliser
tekanyetso proportion
tekanyetsobosaiketlang volatility
tekanyetsokabo budget
tekanyetsomowa air-conditioning
tekanyo measure
tekanyo measurement
tekanyofatshe surveying
tekatekano balance
tekatekano equality
tekatekano equilibrium
tekatekano symmetry
tekelelo adventure
tekelelo venture
teko test
tekotiragatso audition
temana paragraph
temo cultivation
temogo recognition
temokerasi democracy
temosi hint
temosi sense
temothuo agriculture
tempele temple
tenego anger
tente tent
teosešwa rename
tepokgato staging
teponako timing
terama drama
teramotene turpentine
terapesiamo trapezium
terekere tractor
terilione trillion
tetla permission
tetlakgwebo franchise
thaba mountain
thabo tub
thabolu tableau
thaele tile
thaeme thyme
thaere tyre
thaga finch
thaga songbird
thaga weaver
thago shot
thakatshesane teenager
thanodi dictionary
thaopa recruit
thapa employ
thapo core
thapo stone
thapo twine
thapolo disadvantage
tharaano problem
tharabololo solution
tharo three
thatafalotshika arteriosclerosis
thathua tattoo
thebaene turbine
thebe shield
thedimosa laminate
thedimosi laminate
thegerege pulp
thekenoloji technology
thekisi taxi
thekiso retail
thekisotsibolo flotation
thekno techno
thekothekiso arbitrage
themo viscosity
themperetšhara temperature
thepe tap
thepetlano paralysis
therakhoma trachoma
theraoto trout
therariamo terrarium
therei tray
therisano negotiation
thero sermon
thethenase tetanus
thiamaene thiamine
thibela prevent
thibelo prevention
thini tin
thiodolaete theodolite
thipa knife
thitelo screed
thitelontle cladding
thitibatso narcosis
thobalanotshika incest
thobalophologolo bestiality
thobego fracture
thobegobebe brittleness
thobuelokopololo jack-knife
tholo kudu
tholomaikarabelo indemnity
tholotiro retirement
thomelontle export
thoniki tonic
thopa abduct
thopa capture
thosola syphilis
thotana foothills
thothiso distillation
thotloetso motivation
thotloetsokgolo cheerleading
thoto asset
thotobolo dump
thuanyo conciliation
thubolebelo race
thulaganyo system
thulaganyo tabulation
thulaganyoino dentition
thulaganyosešwa regroup
thulamo gradient
thuno audit
thunya bloom
thunya blossom
thunya explode
thuonong poultry
thupanakotaoloso stopwatch
thurugo inflammation
thurugoboko encephalitis
thurugolelana appendicitis
thurugomala enteritis
thurugophilo nephritis
thutadimela botany
thutafatshe geography
thutakgatelelokedi hydraulics
thutapopego anatomy
thutatekanyo geometric
thutatekanyo geometry
thuthuga hatch
thutiso exercise
thutlwa giraffe
thuto education
thuto lesson
thuto moral
thutothulaganyothoto ergonomics
tibelo quarantine
tikologo environment
tikologo surroundings
tikoloso torsion
tikolosoledi toss
timola neutralisation
timola neutralise
tiragalo incident
tiragalokai scenario
tiragatso application
tiragatso operation
tiragatso performance
tiragatso rendition
tiragatsotshelo docudrama
tirego process
tirego reaction
tiriso function
tirisobotlhaswa abuse
tirisodinaopedi double-footed
tirisophetisogolo dissaving
tiro activity
tiro assignment
tiro chore
tiro employment
tiro function
tiro job
tiro occupation
tiroatla handiwork
tirôgong millwork
tlala spread
tlaleletso additional
tlaleletso supplement
tlaletsa strand
tlaletswe stranded
tlamela supply
tlamela support
tlamelothuso welfare
tlamothoto collateral
tlamparela cuddle
tlamparela hug
tlase down
tlelorine chlorine
tlelorofele chlorophyll
tletse full
tlhaba inject
tlhaba slaughter
tlhabego yeast
tlhabo injection
tlhaboletsatsi sunrise
tlhabolola amend
tlhabololo amendment
tlhabololodirelo industrialisation
tlhaeletsanokgakala telecommunications
tlhaeletsanophata multimedia
tlhaelo deficit
tlhaelo shortfall
tlhaelobatshameki short-handed
tlhaelometsi dehydration
tlhagelelo appearance
tlhagelelo prevalence
tlhagisa introduce
tlhagisa nominate
tlhagiso diagram
tlhagiso introduction
tlhagiso nomination
tlhagiso outline
tlhagiso production
tlhagiso tabling
tlhago nature
tlhaka byte
tlhaka foetus
tlhaka letter
tlhakanelopuso consociation
tlhakanyi plus
tlhakanyo addition
tlhakatlhakano complication
tlhakatlhakanya freak
tlhakoreng sideways
tlhakorentsi polyhedron
tlhakorepedi two-dimensional
tlhakorerobedi octahedron
tlhakoresome decagon
tlhakoretekana equilateral
tlhakoretharo three-dimensional
tlhale fibre
tlhale thread
tlhale yarn
tlhalo divorce
tlhaloganya grasp
tlhaloganya understand
tlhaloganyo comprehension
tlhaloganyo mind
tlhalosa describe
tlhalosa explain
tlhaloso description
tlhaloso explanation
tlhama invent
tlhamo composition
tlhano five
tlhapi bream
tlhapi fish
tlhapigouta goldfish
tlhapisekanoga eel
tlharakanya rattle
tlhasela attack
tlhaseloipusolosetso counterattack
tlhatlhama succeed
tlhatlhamano series
tlhatlhelelo lecture
tlhatlhoba assess
tlhatlhoba examine
tlhatlhoba screen
tlhatlhobo assessment
tlhatlhosa promote
tlhatloga ascend
tlhatlogo bubble
tlhatsosefifi cleanse
tlhobaelo insomnia
tlhokakgetholololotso non-racialism
tlhokamaitsholo dissent
tlhokamatshwao asymptomatic
tlhokametsi anhydrous
tlhokammala colourless
tlhokamokwatla invertebrate
tlhokaphetisi non-conductor
tlhokasemmetale nonmetallic
tlhokathemisomadi haemophilia
tlhokatseotlhakore impartiality
tlhokatshelo non-living
tlhokatuelo non-payment
tlhokego demand
tlhokego requirement
tlhokomela care
tlholego natural
tlholegolwetse pathogenesis
tlhomamisa determine
tlhomamiso confirmation
tlhomeso rafter
tlhomo inauguration
tlhomomadirelo industrialisation
tlhopha choose
tlhopha elect
tlhopho choice
tlhophogape re-election
tlhophotlaleletso by-election
tlhotlha elution
tlhotlha filter
tlhotlheletsa mobilise
tlhotlheletso influence
tlhotlho censorship
tlhotlho filtration
tlhotlhomisa explore
tlhotlhona pruritus
tlhotlhoregang deciduous
tlhotlhwa charge
tlhotlhwa cost
tlhotlhwa price
tlhotlhwathomelo postage
tlhware python
tlhwekisa sterilize
tlhwekiso decontamination
tlhwekiso sanitation
tlhwekiso sterilisation
tlodisokgwele chip
tlogelo exclusion
tlola jump
tlola skip
tlolatlola hop
tlososekgwa deforestation
tlotlofoko vocabulary
tlotlomatso plaudit
tlou elephant
tlwaelo custom
tlwaelo routine
tobele dowel
tobetsa click
tobetsa dial
tobetsa press
togamaano planning
togo weaving
togobolotsana plot
togodibaga beadwork
togomaano strategy
togwa tissue
tokafalelo betterment
tokafatsa improve
tokafatsa rationalise
tokololo joint
tomagano joinery
tomaganyatshipi splice
tomanyi tenon
tomela pin
tona minister
tootso whetstone
topo cone
topotuelo claim
topotuelo invoice
toropo town
totobatsa specification
totšhe torch
trasete trust
tsala friend
tsamaelana correspond
tsamaelanang similar
tsamaelano similarity
tsamaiso administration
tsamaya travel
tsebe ear
tsela road
tsela route
tsela track
tselana lane
tselana path
tselanaphetisi areaway
tselanathoko pavement
tselatlhaeletsano lifeline
tsenelela invade
tsenoganong interjection
tsenya insert
tsenyo debit
tsepamisa focus
tsepamisamogopolo concentrate
tsereganyo arbitration
tshalelo surplus
tshalelotuelo arrears
tshasa smear
tshasamologo disintegration
tshedimosetsano interactive
tshedimosetso briefing
tshedimosetso data
tshedimosetso information
tshedimosetsopalo digital
tshegetsa support
tshegetsa sustain
tshegisa amuse
tshekaganyo diagonal
tshekatshekotshiamiso troubleshooting
tshekelelo convection
tshekeletsa ring
tshekeletsa-metopo ellipse
tshekeletsametopo ellipse
tsheko cycle
tshela decant
tshela live
tshela pour
tshelo decantation
tshelohaederojene hydrogenation
tshelometsi rehydration
tshenekegi insect
tshenekegitlodi hopper
tshenyegelo expense
tshenyego decomposition
tshenyo damage
tshenyo destruction
tshephe springbuck
tshepo confidence
tshetlega wedge
tshetlelaboalo sleeper
tshetlelo bridging
tshetlelotheo underpinning
tshetletsi wedge
tshiamela- eco-
tshiamelabojanala eco-tourism
tshiamelatikologo eco-friendly
tshiamiso correction
tshika vein
tshika vessel
tshikelammeleng artery
tshikelapelong vein
tshilo mill
tshimologo beginning
tshimologo original
tshimololo composition
tshingwana garden
tshipi iron
tshipitswako alloy
tshireletso protection
tshireletso security
tshitshinyo motion
tshobokanyo summary
tshoganyetso emergency
tshokologo afternoon
tsholetsa lift
tsholetso elevation
tsholofelo expectation
tshomelo penetration
tshosetsa threaten
tshosetsatshelo life-threatening
tshotlo maltreatment
tshupamolato bill
tshupanako clock
tshupanako watch
tshupatlotlo account
tshupetso demonstration
tshupetso signal
tshupi pointer
tshupokemo designation
tshutatshuto tick
tshutisego mobility
tshutiso transfer
tshwaelotlhagelelo incidence
tshwaetsa infect
tshwaetsagape reinfect
tshwaetso allergy
tshwaetso infection
tshwaetsogape reinfection
tshwana match
tshwanang same
tshwanang similar
tshwanelokgapo lien
tshwanelotlhopho franchise
tshwantsha sketch
tshwantsho illustration
tshwarelelo durability
tshwarokgwele possession
tshwaya mark
tshwene baboon
tshwetso decision
tshwetso resolution
tshwetsotaolo ruling
tsibogelodipotso interpellation
tsibogo reaction
tsibogoeleketeroniki feedback
tsibosa signal
tsiboso signal
tsiboso tip
tsidifatso refrigeration
tsie grasshopper
tsie locust
tsietso fraud
tsietso phishing
tsoma hunt
tsoma surf
tsosolosa activate
tsosolosa reboot
tswaka mix
tswakega miscible
tswakokhemikhale synthesis
tswaletswe closed
tswalotshika thrombosis
tsweletsego sustainability
tuedisotsela toll
tueleloposo postage
tuelelotlole financing
tuelo fee
tuelo payment
tuelomolato amortisation
tuelothotloetso incentive
tulafatso pollination
tumelano mandate
tumelo belief
tumelo faith
twantshatlhole antitoxin
tšhate chart
tšhatšhamo-thurugotlhoko inflammation
tšheke cheque
tšhemele chimney
tšhimpanse chimpanzee
tšhisele chisel
tšhitine chitin
tšhono opportunity
tšhuna tuna
ura hour
utswa steal
vithamini vitamin
vithaminintsi multivitamin
vitrolaete vitrolite
wa collapse
wulu wool
yunifomo uniform
yunivesiti university
yuraniamo uranium
yuria urea
