- bodumedi	religious
kelokadimo	repo rate / repurchase rate
kelokananyo	exchange rate
kelokananyo boditšhaba	foreign exchange rate
kelokgolo	growth rate
kelomogolo / kelotuelo	wage rate
kelomotlakase	electric circuit
kelomotlakase	power supply
kelomowatlholego	natural ventilation
kelophetogotlhotlhwa	inflation rate
kelopoelo	rate of return
kelorokotso / kelopoelo	profit margin
keloselekanyo	unit of measurement
kelotefo	tariff
kelotekanyetso e e kannweng	standard unit of measurement
kelotemosi / seketetemosi	sensing circuit
kelothapo / kelokhiro	employment rate
kelotlase	downwards
kelotlhokatshosetso	risk-free rate
kelotlhoki / kelodidi / kelotlhoki	poverty rate
kelotlhoko	observation
kelotlhokokalafo / togamaanokalafo	DOTS
kelotsadiso / kelorokotso	interest rate
kelotsalotlhomameng	fixed interest rate
kemedi	representation
kemedi e e kgethegileng	special delegate
kemedi ya leruri	permanent delegate
kemedikgaolotlhamalalo	direct district representation
kemeditekatekano	proportional representation
kemelano	resistance
kemiso / ikhutso / kgaotso	recess
kemiso ya kokoano / kemiso ya palamente	suspension of sitting
kemisonakwana	adjournment
kemo / maemo	position
kemo ya pelo	heart failure / HF
kemofatso	rank
kemokopokwadiso	applied status
kemoleruri ya kgwedi / phifalo ya kgwedi / menophose	menopause
kemotlole	capital structure
kemotshouto / seemotshouto	immune status
kenkoroete	chancroid / soft sore
kento / tlhabelo	vaccination
keraentara	grinder
keraentara e e mo letshegong	pedestal grinder
kerafo	graph
kerafokhutlolo	column graph
kerafomela	line graph
kerafomika / kerafonoko	block graph / bar chart
kerafonoko / kerafomika / molanoko	bar graph / bar chart
keraote	grout
kere	gear
kereke	church
kerenke	crank
kerese	candle
kerili	grille
kerisi	grease
kerite	grid
keriti	grid / lattice
keteka	celebrate
ketelomalapeng	home visit
ketla	segment
ketleetso	subsidy
ketleetso ya setlhopha	team sponsorship
ketlogo	chipping
ketlogolosi	wane
kg / kilogerama	kilogram / kg
kgabaganya	across
kgabaganyo / phetogo	transition
kgabisa	decorate
kgabisontswe / temekisontswe	vocal acrobatics
kgabo	monkey
kgabo / malakabe	flame
kgadikego / selomo	colic
kgagamalo	tension
kgagamatso	surprise
kgaisano ya ditlhopha ya boditšhaba	international club competition
kgaisano ya kgwele ya dinao	soccer tournament / tournament
kgaisano ya mantshano	knock-out competition
kgaisanokgetho	tax competition
kgaisanothekotlase	comparative advantage
kgaka	guinea fowl
kgakalo	aggression
kgakantshi	camouflage
kgakgathelatlase / sutsa	simmer
kgakololo	advice
kgakolololato / kgakololokoloto	debt counselling
kgakololotlotlo	financial advice
kgala / khutlopono	horizon
kgalema / kgala	reprimand
kgalemo / teleko / kobo	disciplinary sanction
kgalemo ya tokololo	naming a member
kgama / beta / metlha	choke
kgamelo	bucket
kganano / tsibogokgano	allergic reaction
kganego	repulsion
kganela	ban
kganela / thibela	prevent
kganela / thibela / tima	disenfranchise / disfranchise
kganelo	ban
kganelo	resistance
kganetso	opposition
kganetso / makokokganetso	opposition
kgang / athikele	article
kgano / go sa amogele	rejection
kganosukirimašwi	lactose intolerance
kganotseneletse / kganotota	anaphylaxis
kgantlapane	newt
kgantlapane / rampidiane / khadubane	turtle
kgaoganeng	separate
kgaogano	division
kgaogantshometswako	centrifugation
kgaoganya	break up
kgaoganya / aroganya	separate
kgaoganya / arolela / kgaoganya	share
kgaoganya palo	split the number
kgaoganyo	demarcation
kgaoganyo / karoganyo	division
kgaogokelelo	short circuit
kgaogokelelo	short-circuit
kgaogokgokagano	offline
kgaolelolekgetho / phimolelolekgetho	tax exemption
kgaolo	area
kgaolo	region
kgaolo ya batlhophi ba toropo	urban voters’ district
kgaolo ya dipula tsa selemo	summer rainfall region
kgaolo ya kemedi-esi	single-member district / single-winner voting
kgaolo ya magiseterata	magisterial district
kgaolo ya malokomantsi	multimember district
kgaolo ya nagagodimo	highveld region
kgaolo ya pula ya mariga	winter rainfall region
kgaolokgwebogareng / CBD	central business district / CBD
kgaolokwadiso	registration district
kgaolomotlakase	earth leakage
kgaolotirong / phokotsotirong	retrenchment
kgaolotlhopho	constituency
kgaolotlhopho	electoral region
kgaolotlhopho	voting constituency
kgaolotlhopho / karolotlhopho	constituency
kgaolotlhopho / setereke sa ditlhopho	voting district / electoral district / polling district
kgaolotlhophomabapi / kgaolotlhophokopantsweng	contiguous district
kgaotso	interval
kgapapeo	capsule
kgapapeo	seed-case
kgapetla	ice
kgapetla / logapa / kgapa	shell
kgapetla / lokgadu	egg shell
kgapetlana	ice crystal
kgara / sehuba / mafatlha	chest
kgaragana ya sukiri	sugar crystal
kgaratlho	struggle
kgaso	broadcast
kgaso ya difilimi	film media
kgasosesolo / tirelokgasosesolo	free-to-air service
kgatako ya ditshwanelo tsa botho	human rights violation
kgatakomolawana / tlolomolawana	contravention of code
kgatelelesemphato / kgateleloselekane / kgatelelo ya balelekane	peer pressure
kgatelelo	pressure
kgatelelokedi	hydraulic
kgatelelomadi	blood pressure
kgatelelomadigodimo	high blood pressure / hypertension
kgatelelomaditlase	hypotension / low blood pressure
kgatelelomaikutlo / ngodiego	depression
kgatelelomaikutlo / ngodiego	stress
kgatelelomonyego	osmotic pressure
kgati / ntimo	kgati
kgatisatshwantsho / setshwantshikgatisi	video cassette recorder / VCR / video recorder / video cassette player / video
kgatiso	tracing
kgatiso / phasalatso	publication
kgatiso ya pulamadibogo ya opera / kgatiso ya pulamadibogo ya moopera	operatic debut
kgatisoboloko	block print
kgatisopaka	periodical
kgatisotheo	blueprint
kgatisotshwantsho	video
kgatla	sheath
kgatlapudula	balloon framed wall
kgatlatalama	abacus / counting frame
kgatlha	frame structure
kgatlha ya letlhabaphefo	window buck / window box
kgatlha ya letlhabaphefo	window frame
kgatlhanong / fapaaneng	opposite
kgatlhanong le molaotheo	unconstitutional
kgatlhegelotshireletso	insurable interest
kgatlhego	interest
kgatlhego ya setšhaba	public interest
kgatlho ya madi / tlholefalo / themo	coagulation
kgato	foot
kgato	stage
kgato	step
kgato e e feletseng	complete statement
kgato-nngwe	single step
kgatotlhokamatshwao	latency stage
kgatsha / sanasana / nona	sprinkle
kgatsha / thimotsa	spray
kgeleleswa ya mofufutso	sweat gland
kgeleswa	gland
kgeleswa e e rurugileng	swollen gland
kgethegile	unique
kgethiso	taxation
kgethiso-ka-letseno	progressive tax
kgethisobadiri	withholding tax / retention tax
kgethisoboswa / kgethisolefa	estate duty
kgethisoditswantle	customs duty
kgethisokoketsoboleng / KKB	value-added tax / VAT
kgethisoletseno / PAYE	pay-as-you-earn / PAYE
kgethisotlhole	sin tax
kgethisotshokamo	regressive tax
kgethologo	excludability
kgethololo / tlhaolele	apartheid
kgethololo ka bong	gender discrimination
kgethololobong	sexism
kgetla	mussel
kgetla	oyster
kgetsana ya dipampiritlhopho ya polasetiki / kgetsana ya dibaloto ya polasetiki	plastic ballot bag
kgetsana ya pampiri	paper bag
kgetsanamowa	air-cushion
kgetsanapolasetiki	plastic bag
kgetse	sack
kgobaloboko	brain damage
kgobalotlhabo ka lomao	needle-stick injury
kgobelelo	prejudice
kgobogomogodu / nthomogodu / sesomogodu	gastric ulcer / stomach ulcer
kgobokanya / kokoanya	collect
kgoboketsodinepe	montage
kgodisapilisi / kgogomosapilisi	diluent / dilutent
kgodisasere	culture medium
kgodisetsopele	salary advance
kgodiso / kgolo	development
kgodisotogwa	tissue culture
kgoeletso	proclamation
kgoeletso	squeal
kgoeletso ya maikaelelo	declaration of intent
kgogedi	attraction
kgogedi / makenete	magnet
kgogedi ya bokone	magnetic north
kgogedisemika / kgogedi	bar magnet
kgogeditshekeletsa / makenetetshekeletsa	ring magnet
kgogego ya mesifa	spasm
kgogegomesifa / kerempe	cramp
kgogelogolo	payroll deduction
kgogelokgetho / kgogokgethiso	tax deduction
kgogelomorago	surrender
kgogo	debit
kgogo	withdrawal
kgogo / koko	chicken
kgogobontlhanngwe	partial surrender
kgogola / morwalela	storm water
kgogolego ka phefo	wind erosion
kgogomadi	cash withdrawal
kgogometso / mogorogoro / mogogoro	tunnel
kgogomogo bothitho	thermal expansion
kgogonoka	moorhen
kgogopeeletso / ntshopeeletso	disinvestment
kgogoropo	curve
kgogoropo / segoro	curve
kgogoropontle / seobontle	extrados
kgogoropoteng / seoboteng	intrados
kgokagano	network
kgokagano / lomagano	linkage
kgokaganokatologano	wide area network / WAN
kgokaganoselegae	local area network / LAN
kgokaganotaolo / tomaganotaolo	control joint
kgokanyi	dowel rod
kgokanyi / sefaphi / setshegetsi	brace
kgokedi / sekopedi	clasper
kgokedi / tšhesepore	buckle
kgokelo / tsenyo	installation
kgokelo ya mokgabo / sepelete sa mokgabo	brooch
kgokgontshonyokano / tshotlothobalano	sexual abuse
kgokgotsho	trachea / wind pipe
kgokgotso	throat
kgokgwane ya motlakase / konopomotlakase	electrical switch
kgokong	blue wildebeest
kgolagalopeleging	birth defect
kgolagano	connection
kgolaganokere	gear train
kgolefalotlhaloganyo	mentally handicapped / mentally disabled / mentally challenged
kgolo	big
kgolo	growth
kgolo	large
kgolo go	bigger than
kgoloikonomi	economic growth
kgolokwe	round
kgolokwe	sphere
kgolokwe / potokwe / tibidikwe	round
kgololesego ya kamano	freedom of association
kgololesego ya tlhagisomaikutlo	freedom of expression
kgololo / tlhaolo	exemption
kgololosego	liberation
kgololosego ya go tlhopha	freedom of voting
kgololosego ya motho	personal freedom
kgololosego ya puo	freedom of speech
kgololosegobodumedi	freedom of religion
kgololosegokakanyo	freedom of opinion
kgololosegokakanyo	freedom of thought
kgololosegomonagano	freedom of conscience
kgolommaraka / tlhatlogommaraka	bull market
kgolommele	physical development
kgolotlole	capital growth
kgolotlotlo	fiscal drag
kgolotsweletso	sustainable growth
kgomarelano / mamarelano	agglutination
kgomaretsa	paste
kgomo ka selefera	silver plating
kgomo ka tshoma	rubber covering
kgomoseileketeroniki	electroplating
kgona / atlega	manage
kgonagalo	probability
kgonego / kgonagalo	possibility
kgono	skill
kgonothebolo	bandwidth
kgonotuelo	solvency
kgontsha	enable
kgookgoo	whooping cough / hooping cough
kgopa	garden snail
kgopa	snail
kgopane / thogwe / mokgopha	aloe
kgopapilisi	caplet
kgophalala	bedridden
kgopisegile	bitter
kgopisitsweng / belaelang / kgopisegileng / ngongoregelang	aggrieved
kgopo / tsuntsunyetsa	suction
kgopolo	concept
kgopolo	memory
kgopolo ya bopalomathaithai / kgopolo ya bopalotharabololo	mathematical concept
kgopolokemo / aetioloji	ideology
kgopolokgopo / kakanyophosagalo	misconception
kgopololo le teko ya ithaopo	voluntary counselling and testing / VCT
kgopolopalo	number concept
kgopolotaolomadi	monetarism
kgopô	siphonage
kgoreletsa	disturb
kgoreletsa	impede
kgoreletsa / thibela	inhibit
kgoreletso	obstruction
kgoreletso ka mmele	body check
kgoreletsokgwebisano / maparegakgwebisano	trade barrier
kgoro / kutla wate	ward
kgorometsa / kgarametsa	push
kgorontshetsantle	outlet point
kgorosongwetsi	wedding reception
kgorotla / rorarora	purr
kgorotlhopho	electoral ward
kgorotlhopho / kutletlhopho / watetlhopho	electoral ward
kgorotuedisotsela / kgorwanatuedisotsela	toll gate
kgorwana	scuttle
kgorwana ya mogala	earpiece
kgosi	chief
kgothakgotha	jerky
kgothakgothe	indaba
kgothano / thobalano	intimacy
kgothatso / thotloetso	encouragement
kgotholela	dumping
kgotla	royal court
kgotla ya kgaolotlhopho / khansele ya karolotlhopho	constituency council
kgotlanaboikuelo	appeal tribunal
kgotlatheomolao	legislature
kgotlatshekelo	court / court of law
kgotlatshekelo ya ditlhopho	Electoral Court
kgotlatshekelokgolo	High Court / Supreme Court
kgotlela	pollute
kgotlela / leswefatsa	contaminate
kgotlelegile	polluted
kgotlelegileng / -silafetseng	impure
kgotlelego	pollution
kgotlelego ya metsi / kgotlelometsi	water pollution
kgotlelegomowa	air pollution
kgotlhang / thulano	conflict
kgotlhang ya lotso	racial tension
kgotlhano	friction
kgotlhelo / leswe	litter
kgotlhelo ya tikologo	background contamination
kgotlho	brass
kgotlho	copper / Cu
kgotlholo	cough
kgotlokgotsa / tshikinya	shake
kgoto / kakana	wart
kgotso	heredity
kgotsofalo	contentment
kgwabofatsa	domesticate
kgwafotlhapi	gill
kgwakgwafatso / kgwatafatso	rustication
kgwalalo / kgagamalo / kwatlalalo	stiffness
kgwang	egg white
kgwanyape	tornado
kgwara	etch
kgwatlhapeo	seed box
kgwebanosi	monopoly
kgwebisano	trade
kgwebisano / thekisetsano	business transaction
kgwebisano boditšhaba	foreign trade
kgwebisano gololosegileng	free trade
kgwebisanoboditšhaba	international trade
kgwebisanogouta	gold trade
kgwebisanokgoba / kgwebisanolata	slave trade
kgwebisanoseileketeroniki	electronic transaction
kgwebisanothoto	visible trade
kgwebisanotlhokatlhomamo	informal trade
kgwebisanotlhokatshwarego	invisible trade
kgwebisothoto	free riding
kgwebo	commerce
kgwebo	trade
kgwebo ka mmele / bootswa / boaka	prostitution
kgwebogareng	medium business / medium-sized business / medium enterprise
kgwebokgolo	tertiary business
kgwebommino	music business
kgwebonnye / CC / kgwebopotlana	close corporation
kgwebonnye / kgwebopotlana	micro business / micro-enterprise
kgwebonolo	liquidity
kgweboporaefete	private enterprise
kgwebopotlana / kgwebonnye	small business
kgwebotheo	primary business
kgwebotirelo	service business
kgwebotlaleletso	secondary business
kgwebotšhaba	public enterprise
kgwedi	month
kgweditharong	trimester
kgwele e e emeng	stationary ball
kgwele e e sa siamelang motshameko	defective ball
kgwele e e suleng	dead ball
kgwele e e tswetsengntle / kgwele e e seng mo motshamekong	ball out of play
kgwele ya maoto / kgwele ya dinao	soccer
kgwelelebogong	ball to the hand
kgwelelebogong	unintentional handball
kgweletlowa / bolotlowa	netball
kgwelo / pheko / bekero / kotano	mating
kgwere	bulb
kgwesa	wean
kgwetlho	challenge
kgwetlhokgwele ka theletsane	sliding tackle
kgôgô	competition draw
khabarete	cabaret
khabetšhe / kole	cabbage
khabohaetereiti	carbohydrate
khabono	carbon
khabonomonokosaete	carbon monoxide
khabonotaeokosaete	carbon dioxide
khaboto / koboto	cupboard
khadensa	cadenza
khalamaene	calamine
khalekisi	calix
khalenta ya botsweretshi / khalenta ya botaki	arts calendar
khalesiamo	calcium
khalesiamokhaboneiti	calcium carbonate / carbonate of lime
khalipa	caliper
khaliphase	callipers
khalori	calorie
khamphase / tshupantlha	compass
khaneišene	carnation
khansele ya ditherisano / phaposi ya ditherisano	bargaining council
khansele ya mmasepala / lekgotla la mmasepala	municipal council
khansele ya selegae / lekgotlaselegae	local council
khaontafoele / tshalelotshupo	counterfoil / stub
khapete / mmetshe	carpet
khaphasitha	capacitor
khaskhara	cascara
khataloko ya mmino	music catalogue
khataloko ya mmino	musical catalogue
khathak	kathak
khathaloko	catalogue
khatone	carton
khefi	tuck shop
khefi / lebenkele	cafe / café
kheibole / kabole	cable
kheisene	caisson
kheme	cam
khemfa	camphor
khemikhale	chemical
khemikhaletlhole	arsenic
khemisi	vent
khemisi / dempere	damper
khemisikokelo	hospital pharmacy
khemisimorago	back vent
khemo	breathing
khemo	respiration
khemolodi	wheezing
khemomaele	camomile / chamomile
khemotherapi	chemotherapy
khena	can
khena / bolekisa	canning / tinning
khenyula	cannula
kheretšhe	crèche
khethosisi	ketosis
khetone	ketone
khirikete	cricket
khirikete / tlelabore	firecracker
khitšhene / tsamaya / tšhibobo	nutmeg
khobalete	cobalt
khobele	corbel
khobole	cobble
khokho	soccer boot
khokhonate	coconut
khoko	cork
kholaje	collage
kholera	cholera
kholeseterole	cholesterol
kholetšhe	college
kholobete	culvert
kholoni	colony
khomiki	comic strip
khomišene	commission
khomišene / komisi	commission
khomišene ya Ditlhopho e e Ikemetseng / IEC	Independent Electoral Commission / IEC / Electoral Commission / EC
khomišene ya dipatlisiso	commission of enquiry
khomišeneikemelo ya Bobegakgang	Independent Media Commission
khomphiutara	computer
khomphiutha	computer
khomphiuthafarwa / lepothopo	laptop
khondomo / mosomelwana	male condom / CD / French letter / FL / sheath / raincoat / overall / rubber
khonisi	cornice
khonsata ya mmino	music concert
khonsata ya rokho	rock concert
khonsata ya semfoni	symphony concert
khonse / leropi	callus / callous
khoramo	quorum
khoroumu	chrome
khotete ya seletswakgojana	string quartet
khothete	quartet
khotiletone / letlharemooko	cotyledon
khouno / topo	cone
khouta	quota
khouto ya dikago	building code
khoutu	code
khoutu / letshwao	code
khoutu ya poso	postal code
khoutunoko	bar code
khubu / mohubu	navel / belly button
khubu ya lebala	central circle / centre circle
khudu	tortoise
khuduthamaga	executive
khumanego / phutlhamo	insolvency / see solvency
khumiso / nonotsho / nonotsha	enrichment
khumo	wealth
khuria / morongwathoto	courier
khutlego / kgobalo	injury
khutlisapelegi	sterilisation
khutlisompa-tlhokasemolao / ntshompatlhokasemolao / temololotlhokasemolao	backstreet abortion
khutlo	point
khutlomabapi	adjacent angle
khutlomotsu	acute angle
khutlonne	quadrangle
khutlonnetsepa	rectangle
khutlontsi	polygon
khutlophata / akesele	axil
khutlorobedi	octagon
khutlorobongwe	nonagon
khutlosekoti	obtuse angle
khutlosomeng	decimal point
khutlotharo	triangle
khutlotharotlhakorenne	tetrahedron
khutlothataro	hexagon
khutlotlhamalalo	straight angle / angle of continuation / flat angle
khutlotlhano	pentagon
khutlotsepa	right angle
khutsafalo ya loso / bohutsana / tlhokafalelwa	bereavement
khutsana	orphan
khutshwafatsa	abbreviate
khutshwafatso	abbreviation
khutshwane	short
khutshwane	stumpy
khutswafatso	short form
khutswafatsoina la mokgatlho	party acronym
khwaere ya banna	male-voice choir
khwinini	quinine
kibiti / lethejwane / lerrane	plover / kiewiet
kibo ka bonya	bradycardia / brachycardia
kibobonako	tachycardia
kidibalo	syncope
kidibatsakarolwana	local anaesthesia / local anesthesia
kidibatsokakaretso	general anaesthesia / general anesthesia
kidibatsokokotlo	epidural anaesthetic / epidural anesthetic
kiki	gig
kiletso	embargo
kiletsolato / kiletsokoloto	credit squeeze
kilo	kilo-
kilogeramo	kilogram / kg
kilojule	kilojoule / kJ
kilolitara	kilolitre / kl
kilometara	kilometre / km
kima	thick
kimisetsontle	in vitro fertilisation / test-tube conception / IVF
kimiso ya maitirelo	artificial insemination
kimo / boimana	pregnancy
kimololakgatelelomaikutlo / sethibelakgatelelomaikutlo	antidepressant
kimolololato / namolokoloto	debt relief
kinane	myth
kinanethobalano	sexual myth
kitlano	density
kitsiso ya dipholo	announcement of results
kitsiso ya divoutu / kgweeletsodipholo	proclamation of votes
kitsiso ya tshisinyo	notice of motion
kitsisokano / tlhomamiso	declaration
kitso ya batlhophi	voter literacy
kitso ya setso	traditional knowledge
kitsobodirisi	consumer knowledge
kitsokakaretso	general knowledge
kitsothekeniki	technological literacy
kitsotlhagiswa ka molomo	oral knowledge
kitsotlotlo	financial literacy
klelinikitsamai	mobile clinic
km / kilometara	kilometre / km
koafalo	recession
koafalotshouto	immunosuppression
koba / belesetsa	expel
koba / leleka	evict
kobamelo	compliance
kobamelo / tlhomamo	adherence / compliance
kobamelokalafi / tatelokalafi	medication adherence
kobelang / panana	outswinger
kobelo	mulch
kobi / kobelagare / panana	inswinger
kobo	blanket
kobo / khoroso / kgabagantsho	cross
kobo ya ga Josefa	Joseph’s coat
kobo ya letlalo la nkwe	leopard-skin cloak
kobota	peck
kobotlo / sutukheisi	suitcase
kodu / modumo	sonority
kodukoma / menapekodu	larynx
kodutlase	baritone
kokelo ya babakwalebadimo	hospice
kokelo ya motshegare	day hospital
kokelobaimana	maternity hospital
koketsego	extra
koketsegoboleng / kgoloboleng	appreciation
koketsegotheleso / koketsegotlamelo	supply increase
koketsegotlhotlhwa / infleišene	inflation
koketsegotlhotlhwapotlako	hyperinflation
koketso	positive
koketso ya mothamo / koketso ya tekanyetsamolemo	escalating dosage
koketsokelotsadiso	crowding out
koko / kgogo	fowl
kokoano	assembly
kokoanopeomolao / kgotlatheomolao	legislature
kokoanyo / alebamo	album
kokoanyo ya bobedi / alebamo ya bobedi	sophomore album
kokoanyo ya jese / alebamo ya jese	jazz album
kokoanyo ya kopeloesi / alebamo ya kopeloesi / alebamo ya solo	solo album
kokoanyo ya pulamadibogo / alebamo ya pulamadibogo	debut album
kokoanyodeitha / kokoanyotshedimoso	data capture
kokoanyomatlole / kgobokanyomatlole	fundraising
kokoanyopapetla ya CD / kokoanyo ya CD	CD album
kokoanyopina / alebamo	album
kokoanyosomeng / kokoanyotesimale	decimal collection
kokoanyotshedimosetso	data collection
kokobiti / banione	bunion
kokolofutwe / herone	heron
kokomoga / tlhatloga	rise
kokoretsa / kekeretsa	cluck
kokotela	hammer
kokotelela	nailing
kokoteloteng	blind nailing
kokotlela / kokotletsa	accumulate
kolo ya oli	oil stain
kolobe	pig / swine
kolobetsa	wet
kolomo	column
kolotsana / kariki	carriage
kolotsana / kariki	cart
kolwana / kwaba	dot
komelelo / leuba / lešekere	drought
komiso	dehydration
komiti	committee
komiti ya boditšhaba	international committee
komiti ya kgokaganyo ya lekoko	party liaison committee
komiti ya kgoro / komiti ya kutla / komiti ya wate	ward committee
komiti ya lefapha	portfolio committee
komiti ya leruri	standing committee
komitiboitshwarelo	amnesty committee
komitikhuduthamaga	executive committee
komitikhuduthamaga ya kopanelo	Joint Executive Committee
komitikopanelo	joint committee
komitinakwana	ad hoc committee
komitipaakanyetso / komititiragatso	steering committee
komitipotlana	subcommittee
komititsamaiso	management committee
komititsereganyo	mediation committee
komotiso	precipitation
kompaganyo	agglomeration
kompase	pair of compasses
kompone	compound
kona / koba / oba	bend
konalo	wear
konkereite	concrete
konkereitefefo / konkereitetlhofo	aircrete
konkereitekgopamowa	air-entrained concrete
konkereitekomota	dry-packed concrete
konkereitethatafatswamorago	post-stressed concrete / post-tensioned concrete
konkereitetswakwa	aggregate
konkoreite ya diboloko	monolithic concrete
konkoreitethatafatswa	reinforced concrete
konkoreitethatafatswapele	pre-stressed concrete / pre-tensioned concrete
konopo / talama	button
konopo / talama	key
konopo / talama / switšhi / kgokgwane	switch
konopo nngwe le nngwe	any key
konopo ya mmetale	metal button
konopo ya modumo / talama ya modumo / kgokgwana ya modumo	volume button
konopokemisotshoganyetso	emergency stop button
konopokgakologelo	memory recall key
konopokgopolo	memory key
konopomabapi	neighbouring key
konoponaletsana	asterisk key
konopopalelo	calculating key
konopopeba	mouse button
konopophimodi	C key
konopophimodi	CE key / clear entry key
konopophimodi-gotlhe	AC key / All Clear key
konopotlhakanyi	plus button
konopotlhophoseteišene	tuning button
kopana	converge
kopanelobong / -baagi	communal ownership
kopano - thulanoritibatsi	drug-drug interaction
kopano ya botlhe	plenary session
kopano ya sepeme le lee	sexual reproduction
kopanoithuno / boseberate	bosberaad
kopanoitshebo	caucus meeting
kopanya	unite
kopanya / amanya	integrate
kopanya / tlhakanya	pooling
kopanyo	combination
kopanyolato / kopanyokoloto	debt consolidation / loan consolidation
kopaopa / phaphadikota	woodpecker
kopatshwarelo	apologise
kopelo	choral work
kopelo	vocals
kopelotsebe	earache / otalgia
kopi	cup / measuring liquids
kopisa	copy
kopiso	copy
kopo / tleleimi / topo	claim
kopo / topo	request
kopogannweng / tleleimigannweng	rejected claim
kopoleino / thunyoino	toothache
koporasi	corporation
koporasitšhabantsi	multinational corporation / MNC
kopotlhogo	headache
korila / belerutwane	gorilla
korola	aim
korong	wheat
korousari	groceries
korwe	hornbill
kota / pale	pole
kota / sesana	log
kotadikotlase	base shoe
kotama	perch
kotama / tsurama	land
kotana / thobane	stick
kotara / nngwenneng	quarter
kotara pele ga	quarter to
kotelo / kganelo	veto
kotla	nutrient
kotlannye	micronutrient
kotlhao	punishment
kotlhego / phephile / momonego / phepho	emaciation
kotlo	nutrition
kotomorago	hind leg
kotselo / kgofe	somnolence
kotsi	accident
kotsi	dangerous
kotsi	harmful
kotsi ya koloi / kotsi ya sejanaga	car accident
kuane	coping
kubo	pulse
kubopelo	palpitations
kubu	hippopotamus / hippo
kudupana / ikhuna	huddle
kukara / phelikene	pelican
kuku	cake
kukumuru	camber
kukusota	bicarbonate of soda
kuma	ghoema
kumisoteng / nontshetsoteng	internal fertilization
kumo / tlhagiso	production
kumula / tomola	uproot
kumurega / jega	corrode
kungelwagole	disability benefit
kungo	product
kungo e e foreše / kungo e e itekanetseng	fresh product
kungo ya setemothuo	agricultural product
kungogare	intermediate product
kungotlotlo	financial product
kungwelo	benefit
kungwelopholisi / tshiamelopholisi	policy benefit
kungwelosusa / kungwelophenšene / tshiamelosusa	pension benefit
kungwelwa tse di sa tleleimiwang / kungwelwatlhokakopo / tshiamelotlhokakopo	unclaimed benefit
kuno	brand
kuno	final product
kuno ya maiterelo	artificial product
kuno ya tirisomaatla / methabolaete	metabolite
kunobosetšhabayotlhe / kunobosetšhabakakaretso	gross national product
kunokonosetswa	finished product
kunolegano	oral product
kunoletlalong / setshasaletlalo	topical product
kunoritibatsi	drug product
kunoselegaekakaretso	gross domestic product
kuruetsa / kunkuretsa	coo
kurufelela / gagamatsa / tintelela	tighten
kurufolola / maatlatshokeletso	twisting force
kuruga / kumpu / sekaku / thumpu	lump
kutlobotlhoko / khutsafalo	grief
kutlobotlhoko / khutsafalo	sadness
kutlobotlhoko / manyaapelo	sorrow
kutlwanelo	consensus
kutlwano / tumalano	harmony
kutlwelobotlhoko	compassion
kutlwelobotlhoko	empathy
kutlwelobotlhoko	sympathy
kutlwelobotlhoko / boikutlwelobotlhoko	self-pity
kutu / thito	stem
kutu / thito	tree trunk / trunk
kutugong	woody stem
kwa morago	backwards
kwa morago ga	behind
kwa ntle	outside
kwadi	keyboard
kwadi / okene	organ
kwadiso ya batlhophi	voter registration
kwakwaetsa / kokoretsa	stammer / stutter
kwala	write
kwalagape / kwalolola	rewrite
kwalelano ka inthanete / imeile	email / mail / electronic mail
kwamisa	temper
kwasakwasa	kwassa-kwassa
kwase / boratšhe	brush
kwashioko	kwashiorkor
kwatara / nngwetharong	quarter
kwatara morago ga	quarter past
kwatirilione	quadrillion
kwatlalalo	rigidity
kwelano / rakana	encounter
kwelotlase	decline
kwelotlase / phokotsego	depreciation
kwelotlase / phutlhamo	downswing
kwelotlasetlhotlhwa / phokotsotlhotlhwa	deflation
kwena	alligator
kwena	crocodile
kwididi / koduntwana	tadpole
kwintilione	quintillion
kêre / seaparo sa kgwele ya dinao	soccer kit
kôkô ya babakwalebadimo	hospice
laTshipi / Sontaga	Sunday
laboratori	laboratory
labotlhano	Friday
laeborari	library
laeme / kalaka	lime
lananeoteko / lenaneotlhatlhobo	testing protocol
laola	officiate
laola	regulate
laola ka mafatlha / tshwara ka mafatlha	chest trap
laolela	channel
lapile	tired
latelela	follow up
lathese	lattice
latlha	dump
latlhela / akgela	throw in
latswa / utlwelela	taste
leano / polane	plan
leanopolokelotholotiro	retirement savings plan
leanotlotlo	financial plan
learogi / karogi	exception
lebadi	numerator
lebala la motshameko / patlelo ya motshameko	pitch / field of play
lebala le le lekalekanang / patlelo	plane
lebalagae	home ground
lebalapalo	cardinal number / cardinal
lebalelo	batten
lebalelo / balaka	joist
lebalelo / perelaene	purlin
lebalelo la kosene	architrave
lebanta	belt
lebanta la bokapotene	captain's armband
lebanta la kgatisolentswe	tape recorder
lebantagogi	driving belt
lebantaphetisi	conveyor belt
lebati la mamenopedi	bifold door
lebatilegonyedi	collapsible door
lebatimenego	folding door
lebatitheletsane	sliding door
lebedu / lebelo	wattle
lebelo	speed
lebelo / sekgatlha	pace
lebeloneeletsano	relay race
lebete	spleen
lebitla / phuphu	gravesite
lebodu / leobu	chameleon
leboko la akerobate	acrostic poem
leboko la masetlapelo / eleji	elegy
lebokokanelo / epiki	epic work
lebokose la dipampiritlhopho le le konetetsweng	sealed ballot box
lebokoso la dipampiritlhopho / lebokoso la dibaloto	ballot box
lebokoso la dipampiritlhopho tse di kgethegileng	special ballot box
