-ahlola judge
phousetara placard
phoustara poster
phošaolla correct
phošaollo correction
phošo fault
phošo-philising capping
phrotheine protein
phukubje fox
phukubje jackal
phumula clear
phuthego congregation
phuthela packaging
phuthela wrap
pilete billet
pilhazia bilharzia
pimithekganakwana needle
pitlagano overpopulated
pitsi zebra
pitšhi beech
pitšo imbizo
plastikibokagalase perspex
ploko block
poabowo recurrence
poekhota boycott
poelanyo atonement
poeletšo repetition
poeletšo revision
poelo profit
poelo result
pokikose potjiekos
poledišano conversation
poleiti plate
polelo speech
poloko block
poloko funeral
pompa pump
pona wilt
pona wither
ponase bonus
ponelopelo prediction
pono eyesight
ponopedi bifocal
ponte bond
ponyane finch
poo bull
popegolee ellipsoid
popo casting
porofeto prophecy
poskarata postcard
poso mail
pototaka plasterboard
potšišo question
priki brake
primi bream
prisima prism
pshinyaleraga turtle
pshio kidney
pukumodiro workbook
pukuntšu dictionary
pula rain
pula rainfall
pulimia bulimia
puno harvest
puo surgery
pupupu hoopoe
putlaganya across
putseletšo incentive
pušetšosekeng reinstatement
pušokgethollo apartheid
pšalollo transplant
pšhatlegobonolo brittle
rabi rabbi
rabokgobapuku librarian
radiamo radium
radioekthifi radioactive
rafia raffia
ramolao lawyer
ranta rand
rapara rubber
rarolla solve
rebili reveal
rediši radish
reka buy
reka purchase
rekhote vinyl
rekhoto record
rekiša sell
relei relay
rempe ramp
repo rap
rerišana negotiate
retherobaerase retrovirus
rethote retort
retšimene regimen
retšisetara register
ribete rivet
rikei reggae
ritifatšo shade
roboto robot
romela delegate
romela deploy
romela serve
rompas rhombus
rorela purr
rosemeri rosemary
rula ruler
runya bleeding
rupuriki rubric
rusi rust
rwala transport
sabola sword
saenase sinus
saga hacksaw
saga saw
salamantere salamander
salemonela salmonella
salepetere saltpetre
samente cement
sammaletee simultaneous
sangwetše sandwich
santere sander
sapholase surplus
saspenšene suspension
sathalaete satellite
seakaladiši suspender
seamogedi receiver
seapei chef
seapešamoago cladding
searolo quotient
searolwa numerator
seatišo product
seatla hand
sebaka space
sebaledi calculator
sebapithekgi joist
sebelebele trunk
sebete liver
sebetlwa sculpture
sebetšana clitoris
sebešo hearth
sebjalwa crop
sebjana utensil
sebjana vessel
sebjanathuelahlapi fishbowl
seboko caterpillar
seboko worm
sebokwananthokolo roundworm
sebolayadihlabi painkiller
sebolayadikhunkhwane insecticide
sebolayatwatši germicide
sebopego shape
sebopego structure
sebopegohlakorekhutlohlano pentagon
sebopegotaese cuboid
sebopša moulding
sediba spring
sedikadikwe circumference
sediko circle
sedikoripa semicircle
sedirišwa facility
sedirišwa instrument
seela fluid
seela liquid
seelamaatlahlasedi radiometer
seenwa fruit
sefa sift
sefahlego face
sefako hail
sefako hailstone
sefako hailstorm
sefane surname
sefapano cross
sefehlamoroto diuretic
sefela chorale
sefena snout
sefepi whip
sefetišetši transmitter
sefetolatatso flavourant
sefetošatšini mutagen
sefetoši agent
sefo mesh
sefo sieve
sefoka award
sefokotšamodumo pugging
segabe scurvy
segagabi reptile
segalo pitch
segatelelaleleme tongue-depressor
segoba muscle
sehla season
sehlabelo offering
sehlabimokokotlong backache
sehlaga nest
sehlakahlaka island
sehlare drug
sehlatšiši emetic
sehlogo heading
sehlokwa essential
sehlokwa need
sehlomela tenon
sehlopha club
sehlopha cluster
sehlopha squad
sehlopha team
sehlwekiši cleanser
seila canvas
seila taboo
seipone mirror
sekafoko phrase
sekai scenario
sekala balance
sekala scale
sekaleboto drywall
sekalepokisi box-shaped
sekamakgaolakgang semi-final
sekammušo parastatal
sekantoto dildo
sekapeu spore
sekelethone skeleton
sekemathiki schematic
sekepe ship
sekepe vessel
sekerete cigarette
sekero scissors
sekero shears
sekete thousand
seketswana boat
seketswana raft
seketswana yacht
sekgabiši ornament
sekgoba area
sekgoba gap
sekgoba space
sekgoba vacancy
sekgobatshekamo batter
sekgomaretši slag
sekhafola scaffold
sekheithing baseboard
sekhupetšapeu seed-case
sekhutlo corner
sekolo school
sekoloto debt
sekontiri bitumen
sekopolanaga theodolite
sekora score
sekorolo scroll
sekurufu screw
sekurufuteraeba screwdriver
sekwera square
sekwere square
sekwi sense
sekwiti squid
selaete slide
selahlwa reject
sele cell
selekanyetšaboalo screed
selemo spring
selemo summer
selete region
selo item
selo object
selotheipe Sellotape
seloto slot
seloutšo whetstone
selulose cellulose
seluse sluice
selwantšhaesiti antacid
selwantšhampholo antitoxin
selwantšhatwatši antibiotic
semoko smog
sena senna
senepša target
sengwalwa article
senoko node
sensara sensor
sensoši conductor
sente cent
sentoromo syndrome
senya damage
senyakwa requirement
senyakwapele priority
seokobatši drug
seokobatširobadiša sedative
seokolela heartburn
seopedi vocalist
seotlilotlani ruminant
sepaketi spaghetti
sepalaka splint
sepanterele spandrel
separako kicker
sepatšhula spatula
sepediša process
sephadimiši lacquer
sephale sepal
sephedi organism
sephethephethe traffic
sephetho decision
sephetho resolution
sephetho ruling
sephuthedi packaging
sepikiri nail
sepikišana brad
sepikišanathaledi scriber
sepinatšhe spinach
sepolei splay
sepontšhe sponge
seporo railway
seprokhete sprocket
sepruse spruce
seramiki ceramic
serintši syringe
seripa piece
seripagare half
seriti dignity
seromelwantle export
serothetšasehlare dropper
seruiwaratwa pet
sesa sail
sesepediši actuator
seseti die
sesilintere cylindrical
seswantšho picture
setampa samp
setatšhe starch
setena brick
setenakgotlelelaphišo firebrick
setenamankgagane bat
setenankotšana frog
setensele stencil
setepisi stair
seteroete steroid
sethalwa sketch
sethekgakoseni buck
sethekgathaele wonderboard
sethekgi abutment
sethekgi brace
sethekgi strap
sethekgi support
sethelediši glidant
sethibatsebe earplug
sethibelakgahlomadi anticoagulant
sethibelamalaria antimalarial
sethibelatshellego anti-emetic
sethibelatutlo soaker
setlaleletšaphilisi excipient
setlaleletši addendum
setlošabodutu hobby
setlwaedi custom
setlwaedi practice
setoko stock
setološi solvent
setopowatšhe stopwatch
setoto carrion
setsebakgwebo entrepreneur
setsebi expert
setsebi professional
setseka proportion
setsekana particle
setsenywa input
setsopolwa extract
setsopolwa snippet
setswaki additive
setswaki ingredient
setulo seat
setšhaba society
setšhelo container
setšhelo tub
setšhuu stew
setšo culture
setšweletšwa product
sešegotlotlo exchequer
sešilafatši pollutant
sešireletši coping
seširelo shelter
sešo sore
sešo ulcer
sešupanako clock
sešupanako watch
sešupo label
sešupo symptomatic
sili sill
silibere silver
silikhone silicon
silikhoune silicone
silintere cylinder
sinagoge synagogue
sinamone cinnamon
siramo serum
siriele cereal
sirintši syringe
sitiliti stilt
sofithi soffit
sofotebolo softball
solenoite solenoid
sopo soup
sotiamo sodium
spaerale spiral
sterelaisa sterilize
stratosfie stratosphere
swana same
swana similar
swanago similar
swapo swab
swara hold
swarelela sustain
swaya mark
swikiri sugar
swiri lemon
switšhi switch
tabakgolo issue
taelelo mandate
taelelo prescription
taelo instruction
tafola table
tahlegelo forfeiture
tahletšo misrepresentation
takakalaka mortar
takamotsaro slurry
talalerata blue
talalerataboso blue-black
talamorogo green
talente talent
tamati tomato
tanka tank
tankramo tangram
tantshi dance
taolo control
taolompe maladministration
taolompe mismanagement
tapišo strain
taramologa stretch
tate father
tatelano sequence
tatišišo follow-up
tatišišo tracing
tau lion
tayari diary
tebanyo direction
tebelelokgahlamahlo vitamin
tee one
teesomeng deci
teetharong third
tefelo fee
tefelotlaleletšo co-payment
tefelotlaleletšo excess
tefo payment
tekanetšo level
tekano symmetry
tekanyetšo appropriation
tekanyetšo budget
tekanyetšompe misappropriation
tekatekano equality
tekatekano proportion
teko test
tekolo survey
tekotsebo quiz
telele long
telele tall
temana paragraph
tematheto stanza
temo cultivation
temogo recognition
temokerasi democracy
temoši signal
tenego irritation
terebe grape
terekere tractor
tesimale decimal
tetelo expectation
thaba mountain
thaele tile
thaelekota shingle
thaeme thyme
thaere tyre
thaga songbird
thaga weaver
thagelodinong shot
thaka gland
thaka peer
thaka tonsil
thakgoga take-off
thala draw
thanele tunnel
thangsetene tungsten
thapelo prayer
thapenthaine turpentine
thapo capsule
thapo cord
thapo stone
tharo three
thata solid
thebetho pulse
thekele tackle
thekesi taxi
thekga support
thekga wedge
thekgomotheo underpinning
thekniki technique
theknolotši technology
theko cost
thelara teller
theminale terminal
themostate thermostat
themphereitšha temperature
themphone tampon
theo basis
theoga descend
theoga dip
theogo decline
thepaine turbine
thepoditho paralysis
therariamo terrarium
therasete trust
therifi tariff
therišano consultation
therišano negotiation
thero sermon
theroma trauma
thetelommele immunity
thethanase tetanus
thibela debar
thibela prevent
thibelatshenyego preserve
thitelo cobble
thiyamine thiamine
thišu tissue
thobego fracture
thobegonolo brittleness
thokho torque
tholo kudu
thoma start
thomelomoyeng transmission
thopa colonize
thoro grain
thorofatšo granulation
thosola syphilis
thotšhe torch
thraote trout
threyi tray
throposfie troposphere
thulagano outline
thulano conflict
thulelosekabora vault
thutadimela botany
thutafase geography
thutakgatelelodiela hydraulics
thutlwa giraffe
thuto lecture
thuto lesson
thuto moral
thutohlare pharmacology
thwii straight
tiiša stabilize
tiišetšo reinforcement
tikologo area
tikologo background
tikologo environment
tikologo surroundings
timolo dilution
tiragalo incident
tiragatšo administration
tiragatšo application
tiragatšo performance
tiragatšo rendition
tirelo rite
tirišo application
tirišo function
tirišo operation
tisikase discus
tlaleletšo supplement
tlalelo disadvantage
tlelafo glove
tleleime claim
tletše full
tlhabelo immunisation
tlhabelo injection
tlhaelelo deficit
tlhaelo shortfall
tlhago natural
tlhago nature
tlhahlobo check-up
tlhahlokeletšo counselling
tlhaka letter
tlhakanelo coalition
tlhakgama pellagra
tlhako framework
tlhakošo audit
tlhalo divorce
tlhalosadinyakwa specification
tlhalošo explanation
tlhalošo meaning
tlhamego composition
tlhamo composition
tlhamo design
tlhamo invention
tlhaolo nomination
tlhatlaganego layered
tlhohleletšo encouragement
tlhohleletšo motivation
tlhokamokokotlo invertebrate
tlhokatoka injustice
tlhokego demand
tlhoko nipple
tlhokolo censorship
tlhokomelo care
tlhomamišo inauguration
tlhopho classification
tlhopho grouping
tlhotlo challenge
tlhwekišo decontamination
tlhwekišo hygiene
tlhwekišo purification
tlhwekišo sanitation
tlhwekišomeetsekatlilorini chlorination
tlogetšwego missing
tlokammala colourless
tlotlontšu vocabulary
tlou elephant
tobetša click
toka justice
tokologo freedom
tokologo liberation
tologa melt
tologago deliquescent
tologegago solubility
tona minister
torana turret
toropo town
trapesiamo trapezium
treefute tripod
trilione trillion
tsebagatšo declaration
tsebe ear
tsebopalo numeracy
tsela path
tsela route
tsela track
tselakefogo bypass
tselakgokagano lifeline
tselanathoko pavement
tseno penetration
tsenogare interjection
tsentšha integrate
tsenyomoya ventilation
tsepamego vertical
tshedimošo information
tshedimošohlopša database
tshekamo deformity
tshekamo slope
tshela six
tshenyegelo expense
tshenyo damage
tshenyo destruction
tshepedišo procedure
tshepedišo process
tshepetšo process
tshephe springbuck
tshese thin
tshwano similarity
tshwarompe maltreatment
tsoma hunt
tswadišo breed
tswadišo propagation
tswala interest
tswalanego related
tswalano relationship
tswalegile closed
tswalelopelego sterilisation
tswinya squeal
tswinyofahla wheezing
tulo sitting
tumelelano consensus
tumelelano mandate
tumelelo authorisation
tumelelo consent
tumelelo permission
tumelo belief
tumelo faith
tumelo religion
tumelokgopolo ideology
twatši germ
tšabelini javelin
tšatšikgwedi date
tšempe jamb
tšeometri geometric
tšeosephetho decision-making
tšhakhoulo charcoal
tšhate chart
tšhatšhamelothurogo gastroenteritis
tšhatšhamelothurugo inflammation
tšhatšhamelothurugomalokollo arthritis
tšhatšhišitšwego charged
tšheke cheque
tšhela maraca
tšhela pour
tšhela shaker
tšhelete cash
tšhelete currency
tšhelete money
tšhentšha change
tšhentšhi change
tšhika vessel
tšhila litter
tšhilafaditšwego polluted
tšhilafalo contamination
tšhilafatša pollute
tšhilo mill
tšhimpanzi chimpanzee
tšhipi iron
tšhipi tin
tšhireletšo protection
tšhireletšo security
tšhireletšohlare containment
tšhitišo obstacle
tšhišinyo motion
tšhoganetšo emergency
tšhošetša threaten
tšhuna tuna
tšhupadifaele directory
tšhupamabaka calendar
tšhupamolato bill
tšhupaphefo weathervane
tšhupaphokelaphefo windsock
tšhupatlhamego skeleton
tšhupetšo demonstration
tšhupohlare indication
tšhupu tube
tšidifatšo refrigeration
tšie locust
tšiminasetiki gymnastics
tšimnospeme gymnosperm
tšireniamo geranium
tšokotša shake
tšontisi jaundice
tšweletša produce
tšweletšo production
tšweletšo secretion
uwauwetša canvass
vithamenentši multivitamin
wate ward
wepsaete website
wulu wool
yisti yeast
yunibesithi university
yunifomo uniform
yuraniamo uranium
yuriya urea
zinki zinc
zipi zip
šala remain
šebešebe harmony
šelo cello
šetule schedule
šila digest
šila grind
šila mill
šilafatša contaminate
šilafetšego murky
šireletša protect
šomišwa spend
šupa seven
šutiša move
